realization,mean_hops,D1,D2,D3,anisotropy_D1_D3
0,1277.2425,1.9598637247588168e-07,3.2600889820456325e-08,1.4787284161003597e-08,13.253709764550862
1,1281.17,1.9106427234681336e-07,3.575023334487882e-08,1.4866431445477928e-08,12.852060230293619
2,1278.3166666666666,1.9796242467457e-07,3.120263942784613e-08,1.4561737507457692e-08,13.59469806217733
3,1280.7683333333334,2.1057317641460822e-07,3.448154909912518e-08,1.4817444830616538e-08,14.21116655548543
4,1280.2483333333332,2.0220691525103498e-07,3.34126899235542e-08,1.4542440621703573e-08,13.904606558905616
5,1280.9841666666666,1.9359537278459456e-07,3.471445988309367e-08,1.4385416708996939e-08,13.457752159763018
6,1280.63,2.0263002167965432e-07,3.531657919138219e-08,1.4728695704935656e-08,13.75749935629073
7,1278.0266666666666,2.029540914821744e-07,3.2744211671065316e-08,1.5929905911018796e-08,12.740445085855155
8,1280.9316666666666,1.9307210774350259e-07,3.474658367279581e-08,1.5404320594149388e-08,12.533633441570414
9,1278.2666666666667,1.9732930590597564e-07,3.1631646359983935e-08,1.4973533659858375e-08,13.178539574461547
