vacancy_fraction,topology,n_realizations,source_reach_mean,source_reach_std,source_reach_sem,full_connect_probability,full_connect_sem
0.0,3D_enabled,600,1.0,0.0,0.0,1.0,0.0
0.0,strict_2D,600,1.0,0.0,0.0,1.0,0.0
0.05,3D_enabled,600,0.9998448773448775,0.0026852878015594184,0.00010962641543900976,0.9966666666666667,0.0023550543175125337
0.05,strict_2D,600,0.9686122467455417,0.06693597622945839,0.002732649786620616,0.705,0.01863340207229963
0.1,3D_enabled,600,0.9988444231493766,0.010228535431819686,0.0004175782103989438,0.9833333333333333,0.005230718450397329
0.1,strict_2D,600,0.8670185962667203,0.1417620314274352,0.0057874106982934844,0.32666666666666666,0.019162583339928155
0.15,3D_enabled,600,0.9975581171064918,0.012985822017601158,0.0005301439638953665,0.96,0.00800667501159098
0.15,strict_2D,600,0.6842140369872148,0.20344619799103375,0.008305656253121213,0.08,0.011084739618985245
0.2,3D_enabled,600,0.9959859984929642,0.02060531612299446,0.0008412085081679963,0.945,0.009315020989064449
0.2,strict_2D,600,0.4876870153575379,0.22185653170709513,0.009057254979766342,0.006666666666666667,0.0033249756101939067
0.25,3D_enabled,600,0.9895501985544555,0.033109858258061245,0.0013517043031354321,0.8783333333333333,0.01335678932915594
0.25,strict_2D,600,0.27527439450751806,0.2080354329418521,0.008493010985442072,0.0,0.0
0.3,3D_enabled,600,0.9845731121876633,0.04351201305255753,0.0017763704943347905,0.8416666666666667,0.014915672192129097
0.3,strict_2D,600,0.133862730199224,0.16494828804939404,0.0067339856611105964,0.0,0.0
0.35,3D_enabled,600,0.956246710511997,0.10746042922539446,0.004387053652378023,0.69,0.018896961623437316
0.35,strict_2D,600,0.0678717807533597,0.11897952243599624,0.00485731866347023,0.0,0.0
0.4,3D_enabled,600,0.8894815395660983,0.22168518249509708,0.009050259677479288,0.5683333333333334,0.020237758539681298
0.4,strict_2D,600,0.023571782921241125,0.07013643466436155,0.0028633079550956027,0.0,0.0
