Li_onsite_eV,max_time_s,T_eff,censored_fraction,ever_Li_fraction,ever_Li_success,ever_Li_censored,mean_Li_entries,mean_Li_residence_s,censored_mean_Li_residence_s,censored_mean_Li_residence_fraction
-0.3,1e-10,0.4425,0.5575,0.5575,0.0,1.0,0.5575,4.8039015625000956e-11,8.61686378923784e-11,0.861686378923784
-0.3,3e-10,0.4425,0.5575,0.5575,0.0,1.0,0.5575,1.5953901562500095e-10,2.861686378923784e-10,0.9538954596412613
-0.3,1e-09,0.44375,0.55625,0.5575,0.0028169014084507044,1.0,0.5575,5.492427261146937e-10,9.861767794786534e-10,0.9861767794786533
-0.3,3e-09,0.45,0.55,0.5575,0.016666666666666666,1.0,0.57375,1.6534982604811505e-09,2.9858927683013938e-09,0.9952975894337978
-0.1,1e-10,0.75625,0.24375,0.54125,0.3950413223140496,0.9948717948717949,0.96375,2.493349870977658e-11,6.962102934784485e-11,0.6962102934784484
-0.1,3e-10,0.9775,0.0225,0.54125,0.530690537084399,1.0,1.22625,3.8115246766996155e-11,2.2424621121712175e-10,0.7474873707237393
-0.1,1e-09,1.0,0.0,0.54125,0.54125,,1.25875,3.9443456664908947e-11,0.0,0.0
-0.1,3e-09,1.0,0.0,0.54125,0.54125,,1.25875,3.9443456664908947e-11,0.0,0.0
0.0,1e-10,0.96875,0.03125,0.52375,0.5083870967741936,1.0,1.19,8.212648149959273e-13,2.3243584153489747e-12,0.023243584153489746
0.0,3e-10,1.0,0.0,0.52375,0.52375,,1.215,8.422241193463453e-13,0.0,0.0
0.0,1e-09,1.0,0.0,0.52375,0.52375,,1.215,8.422241193463453e-13,0.0,0.0
0.0,3e-09,1.0,0.0,0.52375,0.52375,,1.215,8.422241193463453e-13,0.0,0.0
0.1,1e-10,0.98375,0.01625,0.025,0.020330368487928845,0.3076923076923077,0.02625,2.5780448208611837e-14,1.515381887298539e-13,0.001515381887298539
0.1,3e-10,1.0,0.0,0.025,0.025,,0.02625,2.5780448208611837e-14,0.0,0.0
0.1,1e-09,1.0,0.0,0.025,0.025,,0.02625,2.5780448208611837e-14,0.0,0.0
0.1,3e-09,1.0,0.0,0.025,0.025,,0.02625,2.5780448208611837e-14,0.0,0.0
0.25,1e-10,0.97,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,3e-10,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
0.25,1e-09,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
0.25,3e-09,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
