test,protocol,repeat,n_atoms,device_length_A,max_time_s,n_trajectories,seed,T_eff,T_stderr,graph_seconds,sim_seconds
size,fixed_time,1x1x1,48,15.623098268261034,1.5e-10,250,7148,1.0,0.0,0.012562412004626822,0.13114326800132403
size,L2_scaled_time,1x1x1,48,15.623098268261034,1.5e-10,250,7148,1.0,0.0,0.012562412004626822,0.13853574799577473
size,fixed_time,2x2x1,192,32.666478228261035,1.5e-10,250,7292,0.98,0.008854377448471465,0.008847056000377052,0.5434991519941832
size,L2_scaled_time,2x2x1,192,32.666478228261035,6.557851252111195e-10,250,7292,0.992,0.005634181395730885,0.008847056000377052,0.6250447760030511
size,fixed_time,3x3x1,432,49.70985818826103,1.5e-10,250,7532,0.668,0.029784291161617394,0.00932001899491297,1.1228727510024328
size,L2_scaled_time,3x3x1,432,49.70985818826103,1.5185950451089402e-09,250,7532,0.86,0.021945386758952325,0.00932001899491297,1.212231053999858
statistics,fixed_time,2x2x1,192,32.666478228261035,1.5e-10,50,1,0.94,0.03358571124749334,,0.10904017400025623
statistics,fixed_time,2x2x1,192,32.666478228261035,1.5e-10,50,2,0.96,0.02771281292110205,,0.12310994500148809
statistics,fixed_time,2x2x1,192,32.666478228261035,1.5e-10,50,3,0.92,0.038366652186501746,,0.12672891100373818
statistics,fixed_time,2x2x1,192,32.666478228261035,1.5e-10,100,1,0.99,0.009949874371066205,,0.22729134899418568
statistics,fixed_time,2x2x1,192,32.666478228261035,1.5e-10,100,2,0.92,0.027129319932501065,,0.23017964899918297
statistics,fixed_time,2x2x1,192,32.666478228261035,1.5e-10,100,3,0.95,0.021794494717703377,,0.23661603999789804
statistics,fixed_time,2x2x1,192,32.666478228261035,1.5e-10,300,1,0.96,0.011313708498984765,,0.6709322989991051
statistics,fixed_time,2x2x1,192,32.666478228261035,1.5e-10,300,2,0.9666666666666667,0.010363754503432016,,0.6924737980007194
statistics,fixed_time,2x2x1,192,32.666478228261035,1.5e-10,300,3,0.9566666666666667,0.011755219486899646,,0.7159716440000921
