V,T_eff,model
0.0,1.0,gap_0_no_activation
0.2,1.0,gap_0_no_activation
0.4,1.0,gap_0_no_activation
0.6,1.0,gap_0_no_activation
0.8,1.0,gap_0_no_activation
1.0,1.0,gap_0_no_activation
1.2,1.0,gap_0_no_activation
1.4,1.0,gap_0_no_activation
1.6,1.0,gap_0_no_activation
1.8,1.0,gap_0_no_activation
2.0,1.0,gap_0_no_activation
0.0,1.0,gap_1.3_localization_only
0.2,1.0,gap_1.3_localization_only
0.4,1.0,gap_1.3_localization_only
0.6,1.0,gap_1.3_localization_only
0.8,1.0,gap_1.3_localization_only
1.0,1.0,gap_1.3_localization_only
1.2,1.0,gap_1.3_localization_only
1.4,1.0,gap_1.3_localization_only
1.6,1.0,gap_1.3_localization_only
1.8,1.0,gap_1.3_localization_only
2.0,1.0,gap_1.3_localization_only
0.0,0.0,gap_1.3_legacy_global
0.2,0.0,gap_1.3_legacy_global
0.4,0.0,gap_1.3_legacy_global
0.6,0.0,gap_1.3_legacy_global
0.8,0.0,gap_1.3_legacy_global
1.0,0.0,gap_1.3_legacy_global
1.2,1.0,gap_1.3_legacy_global
1.4,1.0,gap_1.3_legacy_global
1.6,1.0,gap_1.3_legacy_global
1.8,1.0,gap_1.3_legacy_global
2.0,1.0,gap_1.3_legacy_global
